region_id,machine_name,date,reference_hour,motor,genotype,age low,age high,video,comment,ethoscope
2,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_011
3,ETHOSCOPE_011,2020-05-17,12,Y,R58H05-QF2-7xQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_011
4,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_011
5,ETHOSCOPE_011,2020-05-17,12,Y,R58H05-QF2-7xQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_011
6,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_011
7,ETHOSCOPE_011,2020-05-17,12,Y,R58H05-QF2-7xQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_011
8,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_011
9,ETHOSCOPE_011,2020-05-17,12,Y,R58H05-QF2-7xQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_011
10,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_011
11,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
12,ETHOSCOPE_011,2020-05-17,12,Y,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
13,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
14,ETHOSCOPE_011,2020-05-17,12,Y,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
15,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
16,ETHOSCOPE_011,2020-05-17,12,Y,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
17,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
18,ETHOSCOPE_011,2020-05-17,12,Y,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
19,ETHOSCOPE_011,2020-05-17,12,N,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
20,ETHOSCOPE_011,2020-05-17,12,Y,R58H05-QF2-7xISO31,10,12,N,SD in the first night,ETHOSCOPE_011
1,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
2,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
3,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
4,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
5,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
6,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
7,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
8,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
9,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
10,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_013
11,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
12,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
13,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
14,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
15,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
16,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
17,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
18,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
19,ETHOSCOPE_013,2020-05-17,12,N,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
20,ETHOSCOPE_013,2020-05-17,12,Y,alrm-QF2-JxISO31,10,12,N,SD in the first night,ETHOSCOPE_013
