,machine_name,date,region_id,status,DGRP,age,sex,food,Temperature,motor,ZT,DGRP_replicate,selection,optomotor,arena
20,ETHOSCOPE_008,2019-11-19,20,OK,287,5,M,sucrose,20,Rotated,2,#30,0,J,Pv
1,ETHOSCOPE_009,2019-11-19,1,OK,303,5,M,sucrose,20,Rotated,2,#31,0,T,K
3,ETHOSCOPE_009,2019-11-19,3,OK,303,5,M,sucrose,20,Rotated,2,#32,0,T,K
5,ETHOSCOPE_009,2019-11-19,5,OK,303,5,M,sucrose,20,Rotated,2,#33,0,T,K
7,ETHOSCOPE_009,2019-11-19,7,OK,303,5,M,sucrose,20,Rotated,2,#34,0,T,K
9,ETHOSCOPE_009,2019-11-19,9,OK,303,5,M,sucrose,20,Rotated,2,#35,0,T,K
12,ETHOSCOPE_009,2019-11-19,12,OK,303,5,M,sucrose,20,Rotated,2,#36,0,T,K
14,ETHOSCOPE_009,2019-11-19,14,OK,287,5,M,sucrose,20,Rotated,2,#37,0,T,K
16,ETHOSCOPE_009,2019-11-19,16,OK,287,5,M,sucrose,20,Rotated,2,#38,0,T,K
18,ETHOSCOPE_009,2019-11-19,18,OK,287,5,M,sucrose,20,Rotated,2,#39,0,T,K
20,ETHOSCOPE_009,2019-11-19,20,OK,287,5,M,sucrose,20,Rotated,2,#40,0,T,K
