,machine_name,date,region_id,status,DGRP,age,sex,food,Temperature,motor,ZT,DGRP_replicate,selection,optomotor,arena
1,ETHOSCOPE_018,2019-11-18,1,OK,441,5,M,sucrose,20,Control,20,#01,0,na,UE
2,ETHOSCOPE_018,2019-11-18,2,OK,441,5,M,sucrose,20,Control,20,#02,0,na,UE
3,ETHOSCOPE_018,2019-11-18,3,OK,441,5,M,sucrose,20,Control,20,#03,1,na,UE
4,ETHOSCOPE_018,2019-11-18,4,OK,441,5,M,sucrose,20,Control,20,#04,0,na,UE
5,ETHOSCOPE_018,2019-11-18,5,OK,441,5,M,sucrose,20,Control,20,#05,0,na,UE
6,ETHOSCOPE_018,2019-11-18,6,OK,88,5,M,sucrose,20,Control,20,#06,0,na,UE
7,ETHOSCOPE_018,2019-11-18,7,OK,88,5,M,sucrose,20,Control,20,#07,0,na,UE
8,ETHOSCOPE_018,2019-11-18,8,OK,88,5,M,sucrose,20,Control,20,#08,0,na,UE
9,ETHOSCOPE_018,2019-11-18,9,OK,88,5,M,sucrose,20,Control,20,#09,0,na,UE
10,ETHOSCOPE_018,2019-11-18,10,OK,88,5,M,sucrose,20,Control,20,#10,0,na,UE
11,ETHOSCOPE_018,2019-11-18,11,OK,88,5,M,sucrose,20,Control,20,#11,0,na,UE
12,ETHOSCOPE_018,2019-11-18,12,OK,88,5,M,sucrose,20,Control,20,#12,0,na,UE
13,ETHOSCOPE_018,2019-11-18,13,OK,379,5,M,sucrose,20,Control,20,#13,1,na,UE
14,ETHOSCOPE_018,2019-11-18,14,OK,379,5,M,sucrose,20,Control,20,#14,1,na,UE
15,ETHOSCOPE_018,2019-11-18,15,OK,379,5,M,sucrose,20,Control,20,#15,1,na,UE
16,ETHOSCOPE_018,2019-11-18,16,OK,379,5,M,sucrose,20,Control,20,#16,0,na,UE
17,ETHOSCOPE_018,2019-11-18,17,OK,379,5,M,sucrose,20,Control,20,#17,0,na,UE
18,ETHOSCOPE_018,2019-11-18,18,OK,379,5,M,sucrose,20,Control,20,#18,0,na,UE
19,ETHOSCOPE_018,2019-11-18,19,OK,379,5,M,sucrose,20,Control,20,#19,0,na,UE
20,ETHOSCOPE_018,2019-11-18,20,OK,379,5,M,sucrose,20,Control,20,#20,0,na,UE
