region_id,file,start_datetime,stop_datetime,genotype
29,Monitor15.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,108101/KK
30,Monitor15.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,108101/KK
31,Monitor15.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,108101/KK
32,Monitor15.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,108101/KK
1,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
2,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
3,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
4,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
5,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
6,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
7,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
8,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
9,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
10,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
11,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
12,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
13,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
14,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
15,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
16,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,2931 GD
17,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
18,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
19,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
20,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
21,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
22,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
23,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
24,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
25,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
26,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
27,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
28,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
29,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
30,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
31,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
32,Monitor16.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,48011 GD
1,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
2,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
3,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
4,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
5,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
6,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
7,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
8,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
9,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
10,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
11,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
12,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
13,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
14,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
15,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,102293/ KK
16,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
17,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
18,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
19,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
20,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
21,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
22,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
23,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
24,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
25,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
26,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
27,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
28,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
29,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
30,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
31,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
32,Monitor17.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,39841 GD
1,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
2,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
3,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
4,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
5,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
6,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
7,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
8,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
9,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
10,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
11,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
12,Monitor18.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,1403 GD
