"","file","start_datetime","stop_datetime","region_id","sex","genotype"
"40","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",8,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"41","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",9,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"42","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",10,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"43","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",11,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"44","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",12,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"45","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",13,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"46","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",14,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"47","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",15,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"48","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",16,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"49","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",17,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"50","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",18,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"51","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",19,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"52","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",20,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"53","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",21,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"54","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",22,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"55","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",23,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"56","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",24,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"57","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",25,"F","R19G02-gal4 X uas-dtrpa1 (x) "
"58","DAM_20190617/Monitor23.txt","2019-06-17 08:00:00","2019-06-20",26,"F","R19G02-gal4 X uas-dtrpa1 (x) "
