,file,start_datetime,stop_datetime,region_id,sex,genotype
31,Monitor22.txt,"2019/06/17 08:00:00",2019/06/20,31,F,"R52B10-gal4 X uas-dtrpa1 (x)"
32,Monitor22.txt,"2019/06/17 08:00:00",2019/06/20,32,F,"R52B10-gal4 X uas-dtrpa1 (x)"
33,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,1,F,"R19G02-gal4 X uas-dtrpa1 (x)"
34,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,2,F,"R19G02-gal4 X uas-dtrpa1 (x)"
35,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,3,F,"R19G02-gal4 X uas-dtrpa1 (x)"
36,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,4,F,"R19G02-gal4 X uas-dtrpa1 (x)"
37,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,5,F,"R19G02-gal4 X uas-dtrpa1 (x)"
38,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,6,F,"R19G02-gal4 X uas-dtrpa1 (x)"
39,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,7,F,"R19G02-gal4 X uas-dtrpa1 (x)"
40,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,8,F,"R19G02-gal4 X uas-dtrpa1 (x)"
41,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,9,F,"R19G02-gal4 X uas-dtrpa1 (x)"
42,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,10,F,"R19G02-gal4 X uas-dtrpa1 (x)"
43,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,11,F,"R19G02-gal4 X uas-dtrpa1 (x)"
44,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,12,F,"R19G02-gal4 X uas-dtrpa1 (x)"
45,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,13,F,"R19G02-gal4 X uas-dtrpa1 (x)"
46,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,14,F,"R19G02-gal4 X uas-dtrpa1 (x)"
47,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,15,F,"R19G02-gal4 X uas-dtrpa1 (x)"
48,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,16,F,"R19G02-gal4 X uas-dtrpa1 (x)"
49,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,17,F,"R19G02-gal4 X uas-dtrpa1 (x)"
50,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,18,F,"R19G02-gal4 X uas-dtrpa1 (x)"
51,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,19,F,"R19G02-gal4 X uas-dtrpa1 (x)"
52,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,20,F,"R19G02-gal4 X uas-dtrpa1 (x)"
53,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,21,F,"R19G02-gal4 X uas-dtrpa1 (x)"
54,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,22,F,"R19G02-gal4 X uas-dtrpa1 (x)"
55,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,23,F,"R19G02-gal4 X uas-dtrpa1 (x)"
56,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,24,F,"R19G02-gal4 X uas-dtrpa1 (x)"
57,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,25,F,"R19G02-gal4 X uas-dtrpa1 (x)"
58,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,26,F,"R19G02-gal4 X uas-dtrpa1 (x)"
59,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,27,F,"R19G02-gal4 X uas-dtrpa1 (x)"
60,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,28,F,"R19G02-gal4 X uas-dtrpa1 (x)"
61,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,29,F,"R19G02-gal4 X uas-dtrpa1 (x)"
62,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,30,F,"R19G02-gal4 X uas-dtrpa1 (x)"
63,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,31,F,"R19G02-gal4 X uas-dtrpa1 (x)"
64,Monitor23.txt,"2019/06/17 08:00:00",2019/06/20,32,F,"R19G02-gal4 X uas-dtrpa1 (x)"
65,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,1,M,"R19G02-gal4 X uas-dtrpa1 (x)"
66,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,2,M,"R19G02-gal4 X uas-dtrpa1 (x)"
67,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,3,M,"R19G02-gal4 X uas-dtrpa1 (x)"
68,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,4,M,"R19G02-gal4 X uas-dtrpa1 (x)"
69,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,5,M,"R19G02-gal4 X uas-dtrpa1 (x)"
70,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,6,M,"R19G02-gal4 X uas-dtrpa1 (x)"
71,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,7,M,"R19G02-gal4 X uas-dtrpa1 (x)"
72,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,8,M,"R19G02-gal4 X uas-dtrpa1 (x)"
73,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,9,M,"R19G02-gal4 X uas-dtrpa1 (x)"
74,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,10,M,"R19G02-gal4 X uas-dtrpa1 (x)"
75,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,11,M,"R19G02-gal4 X uas-dtrpa1 (x)"
76,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,12,M,"R19G02-gal4 X uas-dtrpa1 (x)"
77,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,13,M,"R19G02-gal4 X uas-dtrpa1 (x)"
78,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,14,M,"R19G02-gal4 X uas-dtrpa1 (x)"
79,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,15,M,"R19G02-gal4 X uas-dtrpa1 (x)"
80,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,16,M,"R19G02-gal4 X uas-dtrpa1 (x)"
81,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,17,M,"R19G02-gal4 X uas-dtrpa1 (x)"
82,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,18,M,"R19G02-gal4 X uas-dtrpa1 (x)"
83,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,19,M,"R19G02-gal4 X uas-dtrpa1 (x)"
84,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,20,M,"R19G02-gal4 X uas-dtrpa1 (x)"
85,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,21,M,"R19G02-gal4 X uas-dtrpa1 (x)"
86,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,22,M,"R19G02-gal4 X uas-dtrpa1 (x)"
87,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,23,M,"R19G02-gal4 X uas-dtrpa1 (x)"
88,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,24,M,"R19G02-gal4 X uas-dtrpa1 (x)"
89,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,25,M,"R19G02-gal4 X uas-dtrpa1 (x)"
90,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,26,M,"R19G02-gal4 X uas-dtrpa1 (x)"
91,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,27,M,"R19G02-gal4 X uas-dtrpa1 (x)"
92,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,28,M,"R19G02-gal4 X uas-dtrpa1 (x)"
93,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,29,M,"R19G02-gal4 X uas-dtrpa1 (x)"
94,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,30,M,"R19G02-gal4 X uas-dtrpa1 (x)"
95,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,31,M,"R19G02-gal4 X uas-dtrpa1 (x)"
96,Monitor24.txt,"2019/06/17 08:00:00",2019/06/20,32,M,"R19G02-gal4 X uas-dtrpa1 (x)"
97,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,1,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
98,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,2,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
99,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,3,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
100,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,4,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
101,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,5,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
102,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,6,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
103,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,7,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
104,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,8,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
105,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,9,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
106,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,10,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
107,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,11,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
108,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,12,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
109,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,13,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
110,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,14,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
111,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,15,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
112,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,16,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
113,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,17,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
114,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,18,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
115,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,19,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
116,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,20,F,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
117,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,21,M,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (6) X Quas-dtrpa1 \#6"
118,Monitor25.txt,"2019/06/17 08:00:00",2019/06/20,22,M,"pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (6) X Quas-dtrpa1 \#6"
